Name,NUM,CBEG,CEND,C,CrBEG,CrEND,Cr,CoBEG,CoEND,Co,MoBEG,MoEND,Mo,WBEG,WEND,W,TiBEG,TiEND,Ti,AlBEG,AlEND,Al,NbBEG,NbEND,Nb,TaBEG,TaEND,Ta,BBEG,BEND,B,ZrBEG,ZrEND,Zr,HfBEG,HfEND,Hf,VBEG,VEND,V,ReBEG,ReEND,Re,RuBeg,RuEnd,Ru,IrBeg,IrEnd,Ir,Mo_n_W,Al_n_Ti,NiBeg,NiEnd,Ni,d750,d760,d800,d816,d850,d870,d900,d926,d940,d950,d982,d1000,d1020,d1030,d1038,d1050,d1093,d1100,d1150,d1200
RR-2000,45,0,0,0,10,10,10,15,15,15,3,3,3,0,0,0,4,4,4,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,61.5,61.5,61.5,,,,,,,,,,,,,,,,,,,,
MXON,46,0,0,0,8,8,8,5,5,5,2,2,2,8,8,8,0,0,0,6.1,6.1,6.1,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,64.9,64.9,64.9,,,,,,,,,,,,,,,,,,,,
MMT143,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,100,100,100,,,,,,,,,,,,,,,,,,,,
TMS-1,48,0,0,0,5.5,5.5,5.5,7.5,7.5,7.5,0,0,0,16.6,16.6,16.6,0,0,0,5.2,5.2,5.2,0,0,0,5.1,5.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,60.1,60.1,60.1,,,,,,,,,,,,,,,,,,,,
SC-83,49,0,0,0,6.5,6.5,6.5,0,0,0,4.3,4.3,4.3,7.1,7.3,7.2,0,0,0,5.1,5.1,5.1,0,0,0,7.3,7.3,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,69.7,69.5,69.6,,,,,,,,,,,,,,,,,,,,
ВКНА-1ВНК,52,0.035,0.035,0.035,5.7,5.7,5.7,0,0,0,3.2,3.2,3.2,3.5,3.5,3.5,1.6,1.6,1.6,8.6,8.6,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,,76.865,76.865,76.865,,,,,,,250,,,,,140,,,,,,90,55,
ВКНА-1В<111>,54,0.035,0.035,0.035,5.7,5.7,5.7,0,0,0,3.2,3.2,3.2,3.5,3.5,3.5,1.6,1.6,1.6,8.6,8.6,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,,76.865,76.865,76.865,,,530,,,,,,,,,200,,,,,,100,,
ВКНА-4У ,55,0.02,0.02,0.02,5,5,5,4,4,4,5,5,5,2.2,2.2,2.2,0.9,0.9,0.9,8.5,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,74.38,74.38,74.38,,,,,,,280,,,,,180,,,,,,95,,45
ВКНА-4Умоно,56,0.02,0.02,0.02,5,5,5,4,4,4,5,5,5,2.2,2.2,2.2,0.9,0.9,0.9,8.5,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,74.38,74.38,74.38,,,,,,,380,333,311,294,245,220,194,181.5,172,158,116,110,75,
ВКНА-4Н,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,100,100,100,,,,,,,250,,,,,,,,,,,,,
